author;first_commit;2014-01-01;2014-02-01;2014-03-01;2014-04-01;2014-05-01;2014-06-01;2014-07-01;2014-08-01;2014-09-01;2014-10-01;2014-11-01;2014-12-01;2015-01-01;2015-02-01;2015-03-01;2015-04-01;2015-05-01;2015-06-01;2015-07-01;2015-08-01;2015-09-01;2015-10-01;2015-11-01;2015-12-01;2016-01-01;2016-02-01;2016-03-01;2016-04-01;2016-05-01;2016-06-01;2016-07-01;2016-08-01;2016-09-01;2016-10-01;2016-11-01;2016-12-01;2017-01-01;2017-02-01;2017-03-01;2017-04-01;2017-05-01;2017-06-01;2017-07-01;2017-08-01;2017-09-01;2017-10-01;2017-11-01;2017-12-01;2018-01-01;2018-02-01;2018-03-01;2018-04-01;2018-05-01;2018-06-01;2018-07-01;2018-08-01;2018-09-01;2018-10-01;2018-11-01
ARostovsky;2017-08-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0
Adam Batkin;2015-11-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aleksandr;2016-02-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aleksandr Samofalov;2016-06-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Aleksey Pivovarov;2014-01-01;1;67;31;11;8;17;24;36;77;26;17;13;11;401;81;68;70;33;85;79;93;63;37;87;57;56;71;66;68;47;50;54;67;67;83;83;35;56;83;42;133;42;50;25;47;112;35;120;94;98;67;78;117;56;133;82;86;54;0
Aleksey Rostovskiy;2017-10-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;10;2;1;4;5;3;7;2;4;7;11;17;0
Aleksey Zezukin;2014-10-01;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alexander Chernikov;2015-01-01;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alexander Doroshko;2014-02-01;0;6;1;2;2;2;1;0;3;6;0;3;1;1;0;0;3;1;3;1;4;1;1;3;6;1;1;2;4;0;4;5;4;1;1;0;0;1;2;3;1;3;0;1;2;6;7;2;2;0;2;5;2;4;4;0;1;5;0
Alexander Kass;2015-03-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;7;2;5;1;4;6;2;3;0;4;0;4;4;5;3;4;7;2;2;3;1;8;5;2;9;1;0;4;3;5;2;1;2;1;2;9;1;3;2;1;1;1;0
