proj;first_commit;2014-01-01;2014-02-01;2014-03-01;2014-04-01;2014-05-01;2014-06-01;2014-07-01;2014-08-01;2014-09-01;2014-10-01;2014-11-01;2014-12-01;2015-01-01;2015-02-01;2015-03-01;2015-04-01;2015-05-01;2015-06-01;2015-07-01;2015-08-01;2015-09-01;2015-10-01;2015-11-01;2015-12-01;2016-01-01;2016-02-01;2016-03-01;2016-04-01;2016-05-01;2016-06-01;2016-07-01;2016-08-01;2016-09-01;2016-10-01;2016-11-01;2016-12-01;2017-01-01;2017-02-01;2017-03-01;2017-04-01;2017-05-01;2017-06-01;2017-07-01;2017-08-01;2017-09-01;2017-10-01;2017-11-01;2017-12-01;2018-01-01;2018-02-01;2018-03-01;2018-04-01;2018-05-01;2018-06-01;2018-07-01;2018-08-01;2018-09-01;2018-10-01;2018-11-01
cleanup;2014-02-01;0;1;0;1;0;2;4;2;2;0;3;0;2;1;2;1;2;2;3;6;3;3;2;4;3;0;5;4;6;1;4;8;10;0;4;4;8;6;8;9;3;6;2;9;11;11;17;12;11;4;14;13;20;4;13;6;11;14;0
coverage;2014-01-01;4;1;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;1;0;0;0;0;0;1;0;0;0;0;2;1;1;0;4;0;0;2;2;0;0;3;0;0;0;0;0;0;0;9;0;1;1;0;0;0
cpp;2014-03-01;0;0;2;0;0;0;0;18;3;1;1;5;4;4;5;3;7;0;1;5;4;5;4;20;7;5;8;10;17;11;8;21;2;5;6;7;1;6;3;7;6;5;1;7;10;14;12;9;21;11;7;6;19;2;4;17;10;5;0
dbe;2014-02-01;0;2;0;0;0;4;4;2;4;5;1;1;3;2;3;4;3;1;3;1;7;7;5;3;2;8;3;7;5;4;1;3;4;4;2;4;0;7;8;2;11;2;4;5;3;1;0;0;0;2;4;1;1;1;1;0;1;2;0
devkit;2014-01-01;6;1;0;2;18;1;6;0;6;1;0;0;0;0;0;6;2;2;2;4;3;7;5;3;1;2;6;1;4;1;2;2;8;3;8;1;0;3;5;3;1;16;6;4;4;1;17;5;4;8;5;10;4;10;2;3;7;3;0
dfa;2014-01-01;2;0;4;3;1;3;5;0;5;1;0;0;6;2;3;2;2;2;4;0;1;6;2;0;3;0;0;0;0;0;0;1;0;2;0;0;0;4;2;2;2;1;1;1;7;2;5;7;2;4;3;3;3;1;1;4;2;0;0
diff;2014-01-01;5;37;14;0;2;17;18;19;33;4;3;7;1;355;42;45;55;25;23;34;43;30;22;35;6;12;17;14;12;10;7;5;11;21;2;10;6;30;15;17;13;8;16;1;1;13;6;1;16;15;7;6;3;3;29;9;2;2;0
ea;2014-01-01;45;27;52;29;47;28;23;52;26;70;18;30;10;43;59;23;22;30;29;23;60;73;17;15;28;27;23;22;22;45;18;19;39;39;37;18;28;41;46;15;35;26;15;14;32;28;13;27;26;24;24;10;26;43;27;14;18;31;0
editor;2014-10-01;0;0;0;0;0;0;0;0;0;1;0;2;0;6;1;2;0;0;7;1;1;1;2;1;5;1;1;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;2;0;0;0;0;2;2;0;0;0;0
edu;2014-08-01;0;0;0;0;0;0;0;4;20;28;5;11;1;0;0;0;0;0;6;17;15;0;1;2;0;8;1;16;2;23;28;25;0;0;8;8;22;2;16;13;9;7;7;10;2;0;7;0;0;0;0;1;0;0;0;0;0;1;0
emmet;2014-03-01;0;0;1;1;11;2;1;0;0;4;2;6;10;0;0;2;1;0;1;0;1;0;0;1;0;0;0;2;2;1;0;0;0;2;1;1;0;5;1;0;0;1;1;5;0;0;0;0;1;0;0;2;0;0;1;0;0;1;0
file-history;2016-04-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9;4;20;3;0;0;0;0;42;30;24;7;0;19;14;3;17;11;0;3;3;0;9;55;14;17;24;6;30;20;0
followup;2016-10-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;5;1;0;1;0;0;0;1;1;0;1;2;2;0;6;3;5;2;3;1;0;1;0;2;0
fus;2018-04-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;24;8;10;9;12;0
git;2014-01-01;6;2;38;16;9;31;48;21;25;28;16;50;10;10;10;26;11;8;16;9;49;14;7;11;13;17;18;3;4;4;3;5;13;19;7;13;6;11;8;17;1;42;16;1;4;30;16;18;15;20;34;6;66;37;32;24;50;59;0
git tests;2014-03-01;0;0;1;0;15;0;9;5;2;1;0;1;2;0;0;0;6;1;1;0;6;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
github;2014-01-01;1;22;3;6;7;0;0;2;28;0;0;2;2;2;3;0;0;0;1;0;7;0;1;0;1;1;1;0;0;5;1;23;2;1;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;21;20;7;34;25;20;51;0
gradle;2014-01-01;11;10;3;11;11;6;6;6;9;5;7;14;7;8;7;11;3;2;11;6;5;18;11;28;4;6;8;9;7;4;0;5;7;26;17;20;7;17;14;19;6;17;6;17;2;14;9;14;8;19;18;20;11;4;5;14;0;3;0
grails;2014-12-01;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;8;3;0;0;2;1;1;0;3;1;1;0;2;1;4;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
